ICDId;Category;ICD10CODE;DESCRIPTION
387;A15-A19;A18.5/6;Tuberculous phlyctenular keratoconjunctivitis
388;A15-A19;A18.6;Tuberculosis of ear
389;A15-A19;A18.6/0;Tuberculous otitis media
390;A15-A19;A18.7;Tuberculosis of adrenal glands
391;A15-A19;A18.7/0;Tuberculous addison's disease
392;A15-A19;A18.8;Tuberculosis of other specified organs
393;A15-A19;A18.8/0;Tuberculosis of breast
394;A15-A19;A18.8/1;Tuberculosis of muscle
395;A15-A19;A18.8/10;Tuberculous esophagitis
396;A15-A19;A18.8/2;Tuberculosis of endocardium
397;A15-A19;A18.8/3;Tuberculosis of esophagus
398;A15-A19;A18.8/4;Tuberculosis of heart
399;A15-A19;A18.8/5;Tuberculosis of myocardium
400;A15-A19;A18.8/6;Tuberculosis of pericardium
401;A15-A19;A18.8/7;Tuberculosis of thyroid gland
402;A15-A19;A18.8/8;Tuberculous cerebral arteritis
403;A15-A19;A18.8/9;Tuberculous hepatitis
404;A15-A19;A19;Miliary tuberculosis
405;A15-A19;A19.0;Acute miliary tuberculosis of a single specified site
406;A15-A19;A19.1;Acute miliary tuberculosis of multiple sites
407;A15-A19;A19.2;Acute miliary tuberculosis, unspecified
408;A15-A19;A19.8;Other miliary tuberculosis
409;A15-A19;A19.8/0;Chronic miliary tuberculosis
410;A15-A19;A19.9;Miliary tuberculosis, unspecified
411;A20-A28;A20;Plague,A20-A28
412;A20-A28;A20.0;Bubonic plague
413;A20-A28;A20.1;Cellulocutaneous plague
414;A20-A28;A20.2;Pneumonic plague
415;A20-A28;A20.3;Plague meningitis
416;A20-A28;A20.7;Septicemic plague
417;A20-A28;A20.8;Other forms of plague
418;A20-A28;A20.9;Plague, unspecified
419;A20-A28;A21;Tularemia,A20-A28
420;A20-A28;A21.0;Ulceroglandular tularemia
421;A20-A28;A21.1;Oculoglandular tularemia
422;A20-A28;A21.2;Pulmonary tularemia
423;A20-A28;A21.3;Gastrointestinal tularemia
424;A20-A28;A21.7;Generalized tularemia
425;A20-A28;A21.8;Other forms of tularemia
426;A20-A28;A21.9;Tularemia, unspecified
427;A20-A28;A22;Anthrax,A20-A28
428;A20-A28;A22.0;Cutaneous anthrax
429;A20-A28;A22.1;Pulmonary anthrax
430;A20-A28;A22.2;Gastrointestinal anthrax
431;A20-A28;A22.7;Anthrax septicemia
432;A20-A28;A22.8;Other forms of anthrax
433;A20-A28;A22.9;Anthrax, unspecified
434;A20-A28;A23;Brucellosis,A20-A28
435;A20-A28;A23.0;Brucellosis due to Brucella melitensis
436;A20-A28;A23.1;Brucellosis due to Brucella abortus
437;A20-A28;A23.2;Brucellosis due to Brucella suis
438;A20-A28;A23.3;Brucellosis due to Brucella canis
439;A20-A28;A23.8;Other brucellosis
440;A20-A28;A23.9;Brucellosis, unspecified
441;A20-A28;A24;Glanders and melioidosis
442;A20-A28;A24.0;Glanders,A20-A28
443;A20-A28;A24.1;Acute and fulminating melioidosis
444;A20-A28;A24.2;Subacute and chronic melioidosis
445;A20-A28;A24.3;Other melioidosis
446;A20-A28;A24.4;Melioidosis, unspecified
447;A20-A28;A25;Rat-bite fevers
448;A20-A28;A25.0;Spirillosis,A20-A28
449;A20-A28;A25.1;Streptobacillosis,A20-A28
450;A20-A28;A25.9;Rat-bite fever, unspecified
451;A20-A28;A26;Erysipeloid,A20-A28
452;A20-A28;A26.0;Cutaneous erysipeloid
453;A20-A28;A26.7;Erysipelothrix septicemia
454;A20-A28;A26.8;Other forms of erysipeloid
455;A20-A28;A26.9;Erysipeloid, unspecified
456;A20-A28;A27;Leptospirosis,A20-A28
457;A20-A28;A27.0;Leptospirosis icterohemorrhagica
458;A20-A28;A27.8;Other forms of leptospirosis
459;A20-A28;A27.9;Leptospirosis, unspecified
460;A20-A28;A28;Other zoonotic bacterial diseases, not elsewhere classified
461;A20-A28;A28.0;Pasteurellosis,A20-A28
462;A20-A28;A28.1;Cat-scratch disease
463;A20-A28;A28.2;Extraintestinal yersiniosis
464;A20-A28;A28.8;Other specified zoonotic bacterial diseases, not elsewhere classified
465;A20-A28;A28.9;Zoonotic bacterial disease, unspecified
466;A30-A49;A30;Leprosy [Hansen's disease]
467;A30-A49;A30.0;Indeterminate leprosy
468;A30-A49;A30.1;Tuberculoid leprosy
469;A30-A49;A30.2;Borderline tuberculoid leprosy
470;A30-A49;A30.3;Borderline leprosy
471;A30-A49;A30.4;Borderline lepromatous leprosy
472;A30-A49;A30.5;Lepromatous leprosy
473;A30-A49;A30.8;Other forms of leprosy
474;A30-A49;A30.9;Leprosy, unspecified
475;A30-A49;A30.9/0;Hansen Disease
476;A30-A49;A30.9/1;Leprosy,A30-A49
477;A30-A49;A30.9/2;Macular leprosy
478;A30-A49;A31;Infection due to other mycobacteria
479;A30-A49;A31.0;Pulmonary mycobacterial infection
480;A30-A49;A31.1;Cutaneous mycobacterial infection
481;A30-A49;A31.8;Other mycobacterial infections
482;A30-A49;A31.9;Mycobacterial infection, unspecified
483;A30-A49;A32;Listeriosis,A30-A49
484;A30-A49;A32.0;Cutaneous listeriosis
485;A30-A49;A32.1;Listerial meningitis and meningoencephalitis
486;A30-A49;A32.7;Listerial septicemia
487;A30-A49;A32.8;Other forms of listeriosis
488;A30-A49;A32.9;Listeriosis, unspecified
489;A30-A49;A33;Tetanus neonatorum
490;A30-A49;A34;Obstetrical tetanus
491;A30-A49;A35;Other tetanus(NON NEONATAL TETANUS)
492;A30-A49;A35/.0;Tetanus,A30-A49
493;A30-A49;A36;Diphtheria,A30-A49
494;A30-A49;A36.0;Pharyngeal diphtheria
495;A30-A49;A36.1;Nasopharyngeal diphtheria
496;A30-A49;A36.2;Laryngeal diphtheria
497;A30-A49;A36.3;Cutaneous diphtheria
498;A30-A49;A36.8;Other diphtheria
499;A30-A49;A36.9;Diphtheria, unspecified
500;A30-A49;A37;Whooping cough
501;A30-A49;A37.0;Whooping cough due to Bordetella pertussis
502;A30-A49;A37.1;Whooping cough due to Bordetella parapertussis
503;A30-A49;A37.8;Whooping cough due to other Bordetella species
504;A30-A49;A37.9;Whooping cough, unspecified
505;A30-A49;A37.9/0;Whooping cough
506;A30-A49;A38;Scarlet fever
507;A30-A49;A39;Meningococcal infection
508;A30-A49;A39.0;Meningococcal meningitis
509;A30-A49;A39.1;Waterhouse-Friderichsen syndrome
510;A30-A49;A39.2;Acute meningococcemia
511;A30-A49;A39.3;Chronic meningococcemia
512;A30-A49;A39.4;Meningococcemia, unspecified
513;A30-A49;A39.4/0;Meningococcemia,A30-A49
514;A30-A49;A39.5;Meningococcal heart disease
515;A30-A49;A39.8;Other meningococcal infections
516;A30-A49;A39.9;Meningococcal infection, unspecified
517;A30-A49;A40;Streptococcal septicemia
518;A30-A49;A40.0;Septicemia due to streptococcus, group A
519;A30-A49;A40.1;Septicemia due to streptococcus, group B
520;A30-A49;A40.2;Septicaemia due to streptococcus, group D
521;A30-A49;A40.3;Septicemia due to Streptococcus pneumoniae
522;A30-A49;A40.8;Other streptococcal septicemia
523;A30-A49;A40.9;Streptococcal septicemia, unspecified
524;A30-A49;A41;Other septicemia
525;A30-A49;A41.0;Septicemia due to Staphylococcus aureus
526;A30-A49;A41.1;Septicemia due to other specified staphylococcus
527;A30-A49;A41.2;Septicemia due to unspecified staphylococcus
528;A30-A49;A41.3;Septicemia due to Haemophilus influenzae
529;A30-A49;A41.4;Septicemia due to anaerobes
530;A30-A49;A41.5;Septicemia due to other Gram-negative organisms
531;A30-A49;A41.8;Other specified septicaemia
532;A30-A49;A41.9;Septicemia, unspecified
533;A30-A49;A41.9/0;Sepsis,A30-A49
534;A30-A49;A41.9/1;Septicemia,A30-A49
535;A30-A49;A42;Actinomycosis,A30-A49
536;A30-A49;A42.0;Pulmonary actinomycosis
537;A30-A49;A42.1;Abdominal actinomycosis
538;A30-A49;A42.2;Cervicofacial actinomycosis
539;A30-A49;A42.7;Actinomycotic septicaemia
540;A30-A49;A42.8;Other forms of actinomycosis
541;A30-A49;A42.9;Actinomycosis, unspecified
542;A30-A49;A43;Nocardiosis,A30-A49
543;A30-A49;A43.0;Pulmonary nocardiosis
544;A30-A49;A43.1;Cutaneous nocardiosis
545;A30-A49;A43.8;Other forms of nocardiosis
546;A30-A49;A43.9;Nocardiosis, unspecified
547;A30-A49;A44;Bartonellosis,A30-A49
548;A30-A49;A44.0;Systemic bartonellosis
549;A30-A49;A44.1;Cutaneous and mucocutaneous bartonellosis
550;A30-A49;A44.8;Other forms of bartonellosis
551;A30-A49;A44.9;Bartonellosis, unspecified
552;A30-A49;A46;Erysipelas,A30-A49
553;A30-A49;A48;Other bacterial diseases, not elsewhere classified
554;A30-A49;A48.0;Gas gangrene
555;A30-A49;A48.1;Legionnaires' disease(LEGIONNAIRe's PNEUMONIA)
556;A30-A49;A48.2;Nonpneumonic Legionnaires' disease[Pontiac fever]
557;A30-A49;A48.3;Toxic shock syndrome
558;A30-A49;A48.4;Brazilian purpuric fever
559;A30-A49;A48.8;Other specified bacterial diseases
560;A30-A49;A49;Bacterial infection of unspecified site
561;A30-A49;A49.0;Staphylococcal infection, unspecified
562;A30-A49;A49.1;Streptococcal infection, unspecified
563;A30-A49;A49.2;Haemophilus influenzae infection, unspecified(INFLUENZA DUE TO H. INFLUENZAE)
564;A30-A49;A49.2/0;Influenza due to H. Influenzae
565;A30-A49;A49.2/1;Hemophilus influenzae [H. influenzae] infection
566;A30-A49;A49.3;Mycoplasma infection, unspecified(PLEURO-PNEUMONIA LIKE ORGANISM, PPLO, INFECTION)
567;A30-A49;A49.8;Other bacterial infections of unspecified site
568;A30-A49;A49.9;Bacterial infection, unspecified
569;A50-A64;A50;Congenital syphilis
570;A50-A64;A50.0;Early congenital syphilis, symptomatic
571;A50-A64;A50.1;Early congenital syphilis, latent
572;A50-A64;A50.2;Early congenital syphilis, unspecified
573;A50-A64;A50.3;Late congenital syphilitic oculopathy
574;A50-A64;A50.4;Late congenital neurosyphilis[Juvenile neurosyphilis]
575;A50-A64;A50.5;Other late congenital syphilis, symptomatic
576;A50-A64;A50.6;Late congenital syphilis, latent
577;A50-A64;A50.7;Late congenital syphilis, unspecified
578;A50-A64;A50.9;Congenital syphilis, unspecified
579;A50-A64;A51;Early syphilis
580;A50-A64;A51.0;Primary genital syphilis
581;A50-A64;A51.1;Primary anal syphilis
582;A50-A64;A51.2;Primary syphilis of other sites
583;A50-A64;A51.3;Secondary syphilis of skin and mucous membranes
584;A50-A64;A51.4;Other secondary syphilis
585;A50-A64;A51.5;Early syphilis, latent
586;A50-A64;A51.9;Early syphilis, unspecified
587;A50-A64;A52;Late syphilis
588;A50-A64;A52.0;Cardiovascular syphilis
589;A50-A64;A52.1;Symptomatic neurosyphilis
590;A50-A64;A52.2;Asymptomatic neurosyphilis
591;A50-A64;A52.3;Neurosyphilis, unspecified
592;A50-A64;A52.7;Other symptomatic late syphilis
593;A50-A64;A52.7/1;Syphilitic liver cirrhosis
594;A50-A64;A52.8;Late syphilis, latent
595;A50-A64;A52.9;Late syphilis, unspecified
596;A50-A64;A53;Other and unspecified syphilis
597;A50-A64;A53.0;Latent syphilis, unspecified as early or late
598;A50-A64;A53.9;Syphilis, unspecified
599;A50-A64;A54;Gonococcal infection
600;A50-A64;A54.0;Gonococcal infection of lower genitourinary tract without periurethral and accessory gland abscess(GONOCOCCAL URETHRITIS)
601;A50-A64;A54.1;Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
602;A50-A64;A54.2;Gonococcal pelviperitonitis and other gonococcal genitourinary infection
603;A50-A64;A54.3;Gonococcal infection of eye
604;A50-A64;A54.4;Gonococcal infection of musculoskeletal system
605;A50-A64;A54.5;Gonococcal pharyngitis
606;A50-A64;A54.6;Gonococcal infection of anus and rectum
607;A50-A64;A54.8;Other gonococcal infections
608;A50-A64;A54.9;Gonococcal infection, unspecified(GONORRHEA)
609;A50-A64;A55;Chlamydial lymphogranuloma(Venereum)
610;A50-A64;A56;Other sexually transmitted chlamydial diseases
611;A50-A64;A56.0;Chlamydial infection of lower genitourinary tract
612;A50-A64;A56.1;Chlamydial infection of pelviperitoneum and other genitourinary organs
613;A50-A64;A56.2;Chlamydial infection of genitourinary tract, unspecified
614;A50-A64;A56.3;Chlamydial infection of anus and rectum
615;A50-A64;A56.4;Chlamydial infection of pharynx
616;A50-A64;A56.8;Sexually transmitted chlamydial infection of other sites
617;A50-A64;A57;Chancroid,A50-A64
618;A50-A64;A58;Granuloma inguinale
619;A50-A64;A59;Trichomoniasis,A50-A64
620;A50-A64;A59.0;Urogenital trichomoniasis
621;A50-A64;A59.8;Trichomoniasis of other sites
622;A50-A64;A59.9;Trichomoniasis, unspecified
623;A50-A64;A60;Anogenital herpesviral [herpes simplex] infections
624;A50-A64;A60.0;Herpesviral infection of genitalia and urogenital tract
625;A50-A64;A60.1;Herpesviral infection of perianal skin and rectum
626;A50-A64;A60.9;Anogenital herpesviral infection, unspecified
627;A50-A64;A63;Other predominantly sexually transmitted diseases, not elsewhere classified
628;A50-A64;A63.0;Anogenital (venereal) warts
629;A50-A64;A63.8;Other specified predominantly sexually transmitted diseases
630;A50-A64;A64;Unspecified sexually transmitted disease(STD, STI)
631;A65-A69;A65;Nonvenereal syphilis
632;A65-A69;A66;Yaws,A65-A69
633;A65-A69;A66.0;Initial lesions of yaws
634;A65-A69;A66.1;Multiple papillomata and wet crab yaws
635;A65-A69;A66.2;Other early skin lesions of yaws
636;A65-A69;A66.3;Hyperkeratosis of yaws
637;A65-A69;A66.4;Gummata and ulcers of yaws
638;A65-A69;A66.5;Gangosa,A65-A69
639;A65-A69;A66.6;Bone and joint lesions of yaws
640;A65-A69;A66.7;Other manifestations of yaws
641;A65-A69;A66.8;Latent yaws
642;A65-A69;A66.9;Yaws, unspecified
643;A65-A69;A67;Pinta [carate]
644;A65-A69;A67.0;Primary lesions of pinta
645;A65-A69;A67.1;Intermediate lesions of pinta
646;A65-A69;A67.2;Late lesions of pinta
647;A65-A69;A67.3;Mixed lesions of pinta
648;A65-A69;A67.9;Pinta, unspecified
649;A65-A69;A68;Relapsing fevers
650;A65-A69;A68.0;Louse-borne relapsing fever
651;A65-A69;A68.1;Tick-borne relapsing fever
652;A65-A69;A68.9;Relapsing fever, unspecified
653;A65-A69;A69;Other spirochetal infections
654;A65-A69;A69.0;Necrotizing ulcerative stomatitis
655;A65-A69;A69.1;Other Vincent's infections
656;A65-A69;A69.2;Lyme disease
657;A65-A69;A69.8;Other specified spirochetal infections
658;A65-A69;A69.9;Spirochetal infection, unspecified
659;A70-A74;A70;Chlamydia psittaci infections
660;A70-A74;A71;Trachoma,A70-A74
661;A70-A74;A71.0;Initial stage of trachoma
662;A70-A74;A71.1;Active stage of trachoma
663;A70-A74;A71.9;Trachoma, unspecified
664;A70-A74;A74;Other diseases caused by chlamydiae
665;A70-A74;A74.0;Chlamydial conjunctivitis
666;A70-A74;A74.8;Other chlamydial diseases
667;A70-A74;A74.9;Chlamydial infection, unspecified
668;A75-A79;A75;Typhus fever
669;A75-A79;A75.0;Epidemic louse-borne typhus fever due to Rickettsia prowazekii
670;A75-A79;A75.1;Recrudescent typhus[Brill's disease]
671;A75-A79;A75.2;Typhus fever due to Rickettsia typhi
672;A75-A79;A75.3;Typhus fever due to Rickettsia tsutsugamushi
673;A75-A79;A75.9;Typhus fever, unspecified
674;A75-A79;A77;Spotted fever[Tick-Borne Rickettsioses]
675;A75-A79;A77.0;Spotted fever due to Rickettsia rickettsii
676;A75-A79;A77.1;Spotted fever due to Rickettsia conorii
677;A75-A79;A77.2;Spotted fever due to Rickettsia siberica
678;A75-A79;A77.3;Spotted fever due to Rickettsia australis
679;A75-A79;A77.8;Other spotted fevers
680;A75-A79;A77.9;Spotted fever, unspecified
681;A75-A79;A78;Q fever
682;A75-A79;A79;Other rickettsioses
683;A75-A79;A79.0;Trench fever
684;A75-A79;A79.1;Rickettsialpox due to Rickettsia akari
685;A75-A79;A79.8;Other specified rickettsioses
686;A75-A79;A79.9;Rickettsiosis, unspecified
687;A80-A89;A80;Acute poliomyelitis
688;A80-A89;A80.0;Acute paralytic poliomyelitis, vaccine-associated
689;A80-A89;A80.0/0;Vaccine associated paralytic poliomyelitis (VAPP)
690;A80-A89;A80.1;Acute paralytic poliomyelitis, wild virus, imported
691;A80-A89;A80.2;Acute paralytic poliomyelitis, wild virus, indigenous
692;A80-A89;A80.3;Acute paralytic poliomyelitis, other and unspecified(Acute Flaccid Paralysis)
693;A80-A89;A80.3/0;Paralytic poliomyelitis
694;A80-A89;A80.3/1;Poliomyelitis with paralysis
695;A80-A89;A80.4;Acute nonparalytic poliomyelitis
696;A80-A89;A80.4/0;Nonparalytic poliomyelitis
697;A80-A89;A80.9;Acute poliomyelitis, unspecified
698;A80-A89;A80.9/0;Poliomyelitis,A80-A89
699;A80-A89;A80.9/1;Acute poliomyelitis
700;A80-A89;A80.9/2;Spinal poliomyelitis
701;A80-A89;A81;Slow virus infections of central nervous system(ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM)
702;A80-A89;A81.0;Creutzfeldt-Jakob disease
703;A80-A89;A81.1;Subacute sclerosing panencephalitis
704;A80-A89;A81.2;Progressive multifocal leukoencephalopathy
705;A80-A89;A81.8;Other slow virus infections of central nervous system(OTHER ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM)
706;A80-A89;A81.9;Slow virus infection of central nervous system, unspecified(ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM)
707;A80-A89;A82;Rabies,A80-A89
708;A80-A89;A82.0;Sylvatic rabies
709;A80-A89;A82.1;Urban rabies
710;A80-A89;A82.9;Rabies, unspecified
711;A80-A89;A82.9/0;Rabies,A80-A89
712;A80-A89;A83;Mosquito-borne viral encephalitis
713;A80-A89;A83.0;Japanese encephalitis
714;A80-A89;A83.1;Western equine encephalitis
715;A80-A89;A83.2;Eastern equine encephalitis
716;A80-A89;A83.3;St Louis encephalitis
717;A80-A89;A83.4;Australian encephalitis
718;A80-A89;A83.5;California encephalitis
719;A80-A89;A83.6;Rocio virus disease
720;A80-A89;A83.8;Other mosquito-borne viral encephalitis
721;A80-A89;A83.9;Mosquito-borne viral encephalitis, unspecified
722;A80-A89;A84;Tick-borne viral encephalitis
723;A80-A89;A84.0;Far Eastern tick-borne encephalitis[Russian spring-summer encephalitis]
724;A80-A89;A84.1;Central European tick-borne encephalitis
725;A80-A89;A84.8;Other tick-borne viral encephalitis
726;A80-A89;A84.9;Tick-borne viral encephalitis, unspecified
727;A80-A89;A85;Other viral encephalitis, not elsewhere classified
728;A80-A89;A85.0;Enteroviral encephalitis
729;A80-A89;A85.1;Adenoviral encephalitis
730;A80-A89;A85.2;Arthropod-borne viral encephalitis, unspecified
731;A80-A89;A85.8;Other specified viral encephalitis
732;A80-A89;A86;Unspecified viral encephalitis(VIRAL MENINGOENCEPHALITIS)
